"","DRIVE","CAPTURE_METHOD","DATE","AHY_M","AHY_F","L_M","L_F"
"1","MANOKINAK01 2024","HELICOPTER",2024-07-28,6,3,6,0
"2","MANOKINAK02 2024","HELICOPTER",2024-07-29,3,2,9,8
"3","MANOKINAK03 2024","HELICOPTER",2024-07-29,3,3,6,2
"4","PUNORAT1","HELICOPTER",2024-07-25,5,3,10,10
"5","PUNORAT2","HELICOPTER",2024-07-26,4,4,11,3
"6","PUNORAT3","HELICOPTER",2024-07-26,4,4,8,8
"7","PUNORAT4","HELICOPTER",2024-07-26,4,1,13,15
"8","PUNORAT5","HELICOPTER",2024-07-26,4,2,6,9
