"","DRIVE","DATE","method","AHYM","AHYF","LM","LF","Total"
"7","Babtuk",2023-07-28,"ground",10,14,13,8,45
"8","Bend Colony",2023-07-17,"ground",4,13,19,25,61
"9","Hock Slough",2023-07-22,"ground",0,0,7,8,15
"10","Kash-Tut",2023-07-21,"ground",2,8,34,29,73
"24","North Camp",2023-07-19,"ground",16,11,32,33,92
"25","Old Village",2023-07-24,"ground",13,14,42,27,96
"26","Onumtuk",2023-07-25,"ground",8,7,13,17,45
"27","Tut 2",2023-07-18,"ground",5,6,8,8,27
"28","Tut 3",2023-07-23,"ground",22,12,27,27,88
